time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010448350000	20.2288	13.5083	4.75753	1.72251	0.539967	radar	1.36603	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072
1477010448400000	20.2049	13.7749	4.82929	1.74456	0.534583	lidar	1.47021	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892
1477010448450000	20.1525	13.9965	4.76822	1.78033	0.557779	radar	0.749529	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374
1477010448500000	20.0921	14.2608	4.85187	1.81238	0.564193	lidar	0.397034	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521
1477010448550000	20.0204	14.4902	4.85673	1.84207	0.560709	radar	1.33211	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331
1477010448600000	19.9034	14.7586	4.98105	1.89091	0.588274	lidar	0.960619	19.781	14.773	19.934	14.6897	-1.30687	4.62805
1477010448650000	19.8397	14.9736	4.95186	1.90011	0.538246	radar	3.41569	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944
1477010448700000	19.823	15.1749	4.81596	1.90021	0.504058	lidar	2.32529	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751
1477010448750000	19.6967	15.3721	4.64171	1.9894	0.66789	radar	7.32731	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226
1477010448800000	19.6829	15.5359	4.44531	1.99056	0.626103	lidar	3.19514	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372
1477010448850000	19.6031	15.7261	4.42082	2.00967	0.59688	radar	1.27272	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193
1477010448900000	19.4877	15.954	4.51104	2.04454	0.603777	lidar	0.229615	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469
1477010448950000	19.3939	16.1561	4.53956	2.05135	0.540614	radar	1.86345	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868
1477010449000000	19.2836	16.3362	4.49723	2.08161	0.544418	lidar	0.336539	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731
1477010449050000	19.1731	16.5245	4.47574	2.11116	0.55187	radar	0.207559	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284
1477010449100000	19.0264	16.7576	4.61239	2.14421	0.559266	lidar	0.503028	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953
1477010449150000	18.8665	16.9503	4.61661	2.21787	0.678745	radar	6.43459	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476
1477010449200000	18.6642	17.2179	4.89417	2.26014	0.689578	lidar	2.08684	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127
1477010449250000	18.5726	17.4187	4.83091	2.2214	0.511907	radar	6.14623	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489
1477010449300000	18.3428	17.6311	5.00294	2.27078	0.53902	lidar	3.63161	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568
1477010449350000	18.2023	17.8278	4.99515	2.26693	0.459615	radar	1.82689	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372
1477010449400000	18.0837	18.0052	4.89899	2.27831	0.446504	lidar	0.998274	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906
1477010449450000	17.9089	18.1538	4.83149	2.33118	0.520358	radar	2.48458	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418
1477010449500000	17.7992	18.2769	4.62928	2.34975	0.511306	lidar	1.01782	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199
1477010449550000	17.6747	18.4491	4.57793	2.35555	0.47747	radar	6.38486	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973
1477010449600000	17.4631	18.6503	4.74512	2.38385	0.482705	lidar	0.668601	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509
1477010449650000	17.2868	18.785	4.69791	2.42495	0.52287	radar	1.8867	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817
1477010449700000	17.134	18.915	4.60773	2.44926	0.520798	lidar	0.192545	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904
1477010449750000	16.9672	19.085	4.62936	2.46033	0.493723	radar	2.9751	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678
1477010449800000	16.7438	19.2071	4.67085	2.50251	0.514432	lidar	2.82441	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455
1477010449850000	16.5485	19.3643	4.72584	2.52909	0.525949	radar	3.28072	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938
1477010449900000	16.3033	19.5429	4.90596	2.55417	0.522981	lidar	0.763619	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237
1477010449950000	16.0825	19.6222	4.85602	2.6118	0.582946	radar	10.1363	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364
1477010450000000	15.8725	19.7683	4.89716	2.63221	0.572262	lidar	0.703928	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329
1477010450050000	15.691	19.8898	4.78926	2.6293	0.488488	radar	3.26065	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141
1477010450100000	15.4453	20.0553	4.94482	2.64374	0.474537	lidar	1.04597	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081
1477010450150000	15.2197	20.2073	5.01213	2.65275	0.44889	radar	5.37689	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347
1477010450200000	15.0481	20.3277	4.90932	2.66434	0.437606	lidar	1.96462	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763
1477010450250000	14.8155	20.4095	4.91164	2.70728	0.480792	radar	2.29196	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068
1477010450300000	14.6044	20.5257	4.90501	2.72388	0.472218	lidar	0.570289	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272
1477010450350000	14.3589	20.6175	4.97113	2.7642	0.516374	radar	1.21793	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386
1477010450400000	14.1154	20.6875	4.97304	2.79838	0.526143	lidar	0.691796	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421
1477010450450000	13.8727	20.7624	5.00604	2.83544	0.555077	radar	0.246221	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386
1477010450500000	13.5912	20.8273	5.09535	2.87086	0.562508	lidar	1.39268	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294
1477010450550000	13.3382	20.8609	5.1324	2.92813	0.633367	radar	1.89198	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153
1477010450600000	13.1026	20.8905	5.07297	2.96647	0.642643	lidar	0.227145	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975
1477010450650000	12.8726	20.9506	5.01615	2.98348	0.612012	radar	1.99462	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694
1477010450700000	12.7002	20.9766	4.82676	3.01455	0.618453	lidar	2.17279	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469
